timestamp,speed,rpm,coolant_temp,battery_voltage,brake_pressure
2026-09-06 10:01:21,116,2874,79.6,14.16,21.2
2026-09-06 10:01:22,116,844,88.7,14.28,92.0
2026-09-06 10:01:23,45,3126,83.5,14.32,20.4
2026-09-06 10:01:24,62,1731,75.3,14.18,29.7
2026-09-06 10:01:25,67,831,82.0,13.25,50.4
2026-09-06 10:01:26,107,2615,92.1,13.31,10.9
2026-09-06 10:01:27,21,3342,90.0,13.69,30.0
2026-09-06 10:01:28,55,1844,79.5,13.56,68.7
2026-09-06 10:01:29,114,2587,88.2,14.29,28.7
2026-09-06 10:01:30,55,2420,90.8,14.09,0.2
2026-09-06 10:01:31,112,3135,93.6,14.04,94.8
2026-09-06 10:01:32,81,1474,79.9,13.47,31.9
2026-09-06 10:01:33,82,1857,84.4,13.85,93.0
2026-09-06 10:01:34,23,2244,89.9,13.74,50.1
2026-09-06 10:01:35,68,1521,91.8,14.15,95.2
2026-09-06 10:01:36,9,2079,88.2,14.27,14.5
2026-09-06 10:01:37,64,3417,89.4,13.36,43.0
2026-09-06 10:01:38,88,2609,94.0,14.18,70.5
2026-09-06 10:01:39,5,1294,90.3,13.42,9.0
2026-09-06 10:01:40,74,2095,78.5,13.88,59.1
2026-09-06 10:01:41,29,2651,94.9,13.7,3.9
2026-09-06 10:01:42,103,3001,82.8,13.67,45.3
2026-09-06 10:01:43,120,2855,93.8,13.5,62.8
2026-09-06 10:01:44,63,1334,93.6,13.99,97.5
2026-09-06 10:01:45,28,1417,86.0,14.08,31.1
2026-09-06 10:01:46,94,1248,90.6,13.31,59.7
2026-09-06 10:01:47,65,1729,90.9,13.59,74.5
2026-09-06 10:01:48,104,1802,75.1,14.03,50.7
2026-09-06 10:01:49,115,3107,92.4,13.85,72.8
2026-09-06 10:01:50,48,1372,88.0,14.39,23.2
2026-09-06 10:01:51,95,2373,77.1,14.29,19.7
2026-09-06 10:01:52,9,1099,90.2,13.52,19.6
2026-09-06 10:01:53,96,3258,92.6,13.79,9.3
2026-09-06 10:01:54,100,3285,92.3,14.22,10.9
2026-09-06 10:01:55,25,1018,86.3,14.39,18.8
2026-09-06 10:01:56,68,2852,91.1,13.95,60.4
2026-09-06 10:01:57,30,1057,79.7,14.31,38.6
2026-09-06 10:01:58,68,1092,78.3,13.88,0.3
2026-09-06 10:01:59,21,2872,85.3,13.78,94.1
2026-09-06 10:02:00,27,2541,77.2,14.26,44.7
2026-09-06 10:02:01,101,1096,80.3,14.0,59.2
2026-09-06 10:02:02,84,1327,89.5,13.84,52.3
2026-09-06 10:02:03,2,913,80.7,13.89,60.7
2026-09-06 10:02:04,29,2249,91.1,13.66,93.8
2026-09-06 10:02:05,111,3438,82.0,13.33,78.0
2026-09-06 10:02:06,26,2939,84.3,13.36,64.3
2026-09-06 10:02:07,29,957,85.3,13.78,64.7
2026-09-06 10:02:08,39,1328,75.0,14.08,27.1
2026-09-06 10:02:09,112,1087,90.7,14.28,73.3
2026-09-06 10:02:10,26,1751,83.2,13.37,81.6
2026-09-06 10:02:11,120,1259,83.0,13.92,90.6
2026-09-06 10:02:12,26,2162,81.1,14.25,22.1
2026-09-06 10:02:13,57,2094,80.2,13.99,33.6
2026-09-06 10:02:14,3,1453,87.1,13.62,90.3
2026-09-06 10:02:15,102,1891,90.0,13.85,63.2
2026-09-06 10:02:16,94,1688,85.9,14.03,83.2
2026-09-06 10:02:17,55,2769,94.4,14.19,39.7
2026-09-06 10:02:18,89,2981,91.2,13.58,77.6
2026-09-06 10:02:19,27,2347,77.3,14.3,46.3
2026-09-06 10:02:20,3,2169,75.2,13.27,63.7
2026-09-06 10:02:21,82,2166,88.1,13.98,60.9
2026-09-06 10:02:22,56,1339,81.7,14.34,4.0
2026-09-06 10:02:23,31,1408,92.4,13.36,52.2
2026-09-06 10:02:24,42,1068,89.9,13.9,61.8
2026-09-06 10:02:25,40,2210,76.3,13.33,74.3
2026-09-06 10:02:26,93,2876,79.3,13.96,47.8
2026-09-06 10:02:27,6,813,86.2,13.34,31.8
2026-09-06 10:02:28,96,2204,85.6,13.5,70.3
2026-09-06 10:02:29,103,1848,81.3,13.58,48.4
2026-09-06 10:02:30,111,3460,75.8,14.14,90.7
2026-09-06 10:02:31,3,3406,94.8,13.42,61.4
2026-09-06 10:02:32,48,1983,78.0,13.66,63.7
2026-09-06 10:02:33,91,1266,78.9,13.32,30.6
2026-09-06 10:02:34,27,897,87.0,14.07,38.3
2026-09-06 10:02:35,17,1632,90.6,14.32,16.7
2026-09-06 10:02:36,52,1633,88.6,14.18,9.7
2026-09-06 10:02:37,29,1366,94.8,13.26,81.4
2026-09-06 10:02:38,3,2078,89.2,14.36,81.2
2026-09-06 10:02:39,14,3303,93.4,13.43,16.5
2026-09-06 10:02:40,55,1868,77.3,14.31,7.0
2026-09-06 10:02:41,16,3258,81.6,13.62,86.1
2026-09-06 10:02:42,40,807,82.5,13.71,5.7
2026-09-06 10:02:43,7,3315,80.9,13.65,24.7
2026-09-06 10:02:44,29,1154,84.7,13.49,90.5
2026-09-06 10:02:45,30,1486,84.2,14.35,80.7
2026-09-06 10:02:46,49,1452,86.8,13.4,84.5
2026-09-06 10:02:47,103,2674,88.7,14.03,3.2
2026-09-06 10:02:48,70,923,78.9,13.43,72.0
2026-09-06 10:02:49,9,1200,78.1,13.72,51.4
2026-09-06 10:02:50,21,1792,78.2,14.02,59.9
2026-09-06 10:02:51,38,2787,87.6,13.51,89.4
2026-09-06 10:02:52,96,1984,86.0,13.9,34.6
2026-09-06 10:02:53,72,2327,82.4,14.29,23.9
2026-09-06 10:02:54,108,1663,76.1,13.99,98.4
2026-09-06 10:02:55,31,1190,84.6,14.35,99.0
2026-09-06 10:02:56,65,1907,92.7,13.6,56.4
2026-09-06 10:02:57,116,2970,80.5,14.12,44.9
2026-09-06 10:02:58,50,2472,83.8,13.27,46.1
2026-09-06 10:02:59,69,2405,90.0,13.66,95.2
2026-09-06 10:03:00,38,3047,92.0,13.59,93.9
2026-09-06 10:03:01,4,1712,84.8,13.28,52.0
2026-09-06 10:03:02,55,3375,91.7,13.92,43.6
2026-09-06 10:03:03,52,1215,87.1,13.84,32.4
2026-09-06 10:03:04,41,1469,90.4,13.79,41.6
2026-09-06 10:03:05,84,2722,88.9,14.07,57.7
2026-09-06 10:03:06,28,3290,82.6,13.55,67.6
2026-09-06 10:03:07,84,2237,93.8,13.27,12.6
2026-09-06 10:03:08,98,3368,94.4,14.26,24.2
2026-09-06 10:03:09,64,1632,76.8,13.28,65.6
2026-09-06 10:03:10,49,1066,75.4,13.81,36.3
2026-09-06 10:03:11,91,1306,91.4,13.36,93.7
2026-09-06 10:03:12,111,1084,82.9,13.48,66.2
2026-09-06 10:03:13,115,2707,79.7,13.24,12.7
2026-09-06 10:03:14,19,1743,78.1,13.89,38.8
2026-09-06 10:03:15,59,2976,90.0,14.06,79.6
2026-09-06 10:03:16,69,1033,77.7,14.33,12.4
2026-09-06 10:03:17,34,1760,92.9,13.69,29.0
2026-09-06 10:03:18,78,2721,88.2,13.77,11.4
2026-09-06 10:03:19,60,3198,91.4,14.31,71.9
2026-09-06 10:03:20,22,2354,94.2,14.11,68.4
2026-09-06 10:03:21,19,1531,82.9,13.38,26.9
2026-09-06 10:03:22,27,1427,93.8,13.22,67.3
2026-09-06 10:03:23,108,2156,90.5,14.04,42.0
2026-09-06 10:03:24,116,3082,93.9,13.36,28.0
2026-09-06 10:03:25,93,2259,94.3,14.13,82.2
2026-09-06 10:03:26,65,1981,85.6,14.13,36.2
2026-09-06 10:03:27,99,1646,94.7,13.94,65.9
2026-09-06 10:03:28,91,2319,92.8,13.21,54.3
2026-09-06 10:03:29,113,1280,90.3,13.69,97.3
2026-09-06 10:03:30,63,1368,78.6,13.51,39.3
2026-09-06 10:03:31,66,3111,84.0,14.17,85.6
2026-09-06 10:03:32,94,1764,75.6,13.61,42.1
2026-09-06 10:03:33,8,1663,93.7,13.3,96.1
2026-09-06 10:03:34,117,1580,76.5,13.69,5.2
2026-09-06 10:03:35,17,3185,89.3,13.44,94.6
2026-09-06 10:03:36,23,1537,86.7,13.71,79.7
2026-09-06 10:03:37,76,1020,81.0,13.72,68.2
2026-09-06 10:03:38,19,1989,89.8,13.98,76.1
2026-09-06 10:03:39,94,2228,79.0,13.72,86.7
2026-09-06 10:03:40,87,1342,91.5,13.4,40.1
2026-09-06 10:03:41,77,2727,79.3,13.48,55.3
2026-09-06 10:03:42,0,3191,79.5,14.38,13.8
2026-09-06 10:03:43,21,1621,75.1,14.23,29.6
2026-09-06 10:03:44,120,2198,84.2,13.98,78.3
2026-09-06 10:03:45,63,1527,77.1,13.88,39.2
2026-09-06 10:03:46,52,1883,85.0,14.1,73.6
2026-09-06 10:03:47,41,1586,84.0,13.34,95.7
2026-09-06 10:03:48,78,1939,89.2,13.28,78.8
2026-09-06 10:03:49,35,3038,91.1,14.22,26.1
2026-09-06 10:03:50,19,1034,82.8,13.38,91.3
2026-09-06 10:03:51,73,2108,83.0,13.9,51.6
2026-09-06 10:03:52,116,3422,81.0,13.53,63.3
2026-09-06 10:03:53,11,2072,88.0,13.94,33.3
2026-09-06 10:03:54,52,1638,85.3,13.67,41.9
2026-09-06 10:03:55,3,3248,93.9,13.34,99.0
2026-09-06 10:03:56,118,1610,75.4,13.52,93.7
2026-09-06 10:03:57,11,2410,76.5,14.2,12.3
2026-09-06 10:03:58,2,2265,88.1,13.27,62.2
2026-09-06 10:03:59,52,1732,88.4,13.91,93.5
2026-09-06 10:04:00,57,2026,82.4,14.07,2.6
2026-09-06 10:04:01,30,1205,77.0,14.15,97.5
2026-09-06 10:04:02,22,1886,92.3,14.05,71.4
2026-09-06 10:04:03,101,3455,87.6,13.92,33.7
2026-09-06 10:04:04,8,1848,88.1,14.24,79.7
2026-09-06 10:04:05,91,1815,76.2,14.13,25.6
2026-09-06 10:04:06,39,989,91.8,13.85,86.8
2026-09-06 10:04:07,94,988,78.2,13.6,29.9
2026-09-06 10:04:08,78,2701,75.8,13.7,11.2
2026-09-06 10:04:09,10,2275,92.7,13.55,95.8
2026-09-06 10:04:10,28,1860,84.1,14.23,89.1
2026-09-06 10:04:11,39,3389,84.4,14.13,8.6
2026-09-06 10:04:12,96,3089,95.0,13.56,31.7
2026-09-06 10:04:13,6,1600,80.3,13.42,73.0
2026-09-06 10:04:14,60,2538,78.9,13.46,25.9
2026-09-06 10:04:15,103,2187,75.4,14.1,75.0
2026-09-06 10:04:16,95,2368,92.5,14.03,88.5
2026-09-06 10:04:17,118,1723,87.3,13.52,80.6
2026-09-06 10:04:18,2,1474,90.3,13.64,57.7
2026-09-06 10:04:19,2,2337,84.9,14.31,37.9
2026-09-06 10:04:20,26,1793,93.2,14.32,59.7
2026-09-06 10:04:21,50,2682,92.5,14.21,86.1
2026-09-06 10:04:22,63,2501,86.5,13.73,28.1
2026-09-06 10:04:23,56,3326,82.8,14.31,46.3
2026-09-06 10:04:24,63,2693,78.8,13.46,57.1
2026-09-06 10:04:25,108,1978,75.4,14.03,82.1
2026-09-06 10:04:26,11,3001,76.8,13.39,9.5
2026-09-06 10:04:27,106,3022,86.5,13.98,79.5
2026-09-06 10:04:28,119,1245,89.6,14.16,43.8
2026-09-06 10:04:29,59,877,81.8,13.84,76.6
2026-09-06 10:04:30,106,2199,82.5,13.77,93.6
2026-09-06 10:04:31,26,2560,92.5,13.99,22.0
2026-09-06 10:04:32,23,1950,86.4,14.4,11.8
2026-09-06 10:04:33,1,978,81.0,13.41,66.2
2026-09-06 10:04:34,36,3302,90.6,14.06,46.7
2026-09-06 10:04:35,86,1254,88.8,14.06,68.1
2026-09-06 10:04:36,88,926,82.6,14.27,7.1
2026-09-06 10:04:37,3,2078,76.5,13.58,56.7
2026-09-06 10:04:38,15,1122,92.6,13.24,83.0
2026-09-06 10:04:39,4,3459,79.2,13.43,17.2
2026-09-06 10:04:40,11,2526,84.8,13.67,53.5
2026-09-06 10:04:41,6,1587,88.1,13.21,5.0
2026-09-06 10:04:42,30,1724,78.1,13.39,19.7
2026-09-06 10:04:43,25,1787,90.5,13.38,20.4
2026-09-06 10:04:44,60,3483,89.0,14.11,11.0
2026-09-06 10:04:45,106,1233,86.9,13.92,93.7
2026-09-06 10:04:46,26,859,87.2,14.15,84.6
2026-09-06 10:04:47,17,1153,87.4,13.3,21.2
2026-09-06 10:04:48,85,1001,88.9,14.25,11.4
2026-09-06 10:04:49,57,3064,82.0,13.84,28.0
2026-09-06 10:04:50,115,1915,93.9,13.84,77.6
2026-09-06 10:04:51,116,1985,90.7,14.31,3.6
2026-09-06 10:04:52,72,2698,86.6,13.58,75.1
2026-09-06 10:04:53,34,2248,82.6,13.66,93.5
2026-09-06 10:04:54,51,1476,86.8,13.42,42.8
2026-09-06 10:04:55,75,893,91.2,13.23,98.7
2026-09-06 10:04:56,65,3213,79.7,13.92,43.5
2026-09-06 10:04:57,15,2086,93.3,13.55,36.1
2026-09-06 10:04:58,96,1833,92.9,13.73,94.0
2026-09-06 10:04:59,22,1846,94.3,13.88,5.7
2026-09-06 10:05:00,9,2844,91.7,13.31,18.1
2026-09-06 10:05:01,24,1102,83.9,13.49,76.7
2026-09-06 10:05:02,10,1487,82.3,14.15,80.2
2026-09-06 10:05:03,85,3418,79.4,13.81,37.5
2026-09-06 10:05:04,1,3287,84.6,13.52,80.8
2026-09-06 10:05:05,9,1149,87.4,14.37,90.9
2026-09-06 10:05:06,79,1428,94.0,13.97,96.4
2026-09-06 10:05:07,82,2315,78.9,14.13,57.7
2026-09-06 10:05:08,56,1401,83.6,14.12,89.1
2026-09-06 10:05:09,115,3105,89.4,14.12,70.6
2026-09-06 10:05:10,116,854,76.9,13.5,7.4
2026-09-06 10:05:11,72,1179,91.0,13.88,58.1
2026-09-06 10:05:12,59,1716,91.3,13.96,74.0
2026-09-06 10:05:13,93,3277,94.1,13.81,80.8
2026-09-06 10:05:14,81,1377,82.1,13.4,21.8
2026-09-06 10:05:15,41,3446,76.0,14.03,53.1
2026-09-06 10:05:16,30,2065,85.6,13.52,4.2
2026-09-06 10:05:17,78,2148,91.3,13.3,67.0
2026-09-06 10:05:18,31,3098,85.2,13.9,98.5
2026-09-06 10:05:19,3,869,88.3,14.11,30.9
2026-09-06 10:05:20,99,1004,89.1,13.54,1.7
2026-09-06 10:05:21,112,2646,91.6,13.8,87.1
2026-09-06 10:05:22,18,2082,88.8,13.57,18.1
2026-09-06 10:05:23,118,3479,83.6,14.3,22.0
2026-09-06 10:05:24,56,2516,86.5,13.81,19.1
2026-09-06 10:05:25,28,839,79.2,14.28,39.9
2026-09-06 10:05:26,65,3125,91.5,13.76,23.8
2026-09-06 10:05:27,60,2335,94.1,14.24,30.1
2026-09-06 10:05:28,85,955,91.9,14.31,6.0
2026-09-06 10:05:29,43,1317,85.6,13.22,21.0
2026-09-06 10:05:30,59,2995,94.5,13.49,15.9
2026-09-06 10:05:31,1,1606,86.9,13.34,73.5
2026-09-06 10:05:32,113,1550,78.5,13.69,49.8
2026-09-06 10:05:33,69,1112,93.6,13.91,3.1
2026-09-06 10:05:34,92,1719,89.6,14.25,46.7
2026-09-06 10:05:35,58,1885,76.4,13.61,99.6
2026-09-06 10:05:36,86,827,87.9,13.57,41.5
2026-09-06 10:05:37,36,3365,88.6,14.33,45.7
2026-09-06 10:05:38,77,1230,82.1,13.53,51.5
2026-09-06 10:05:39,28,2454,80.1,14.39,8.6
2026-09-06 10:05:40,55,2796,77.5,13.61,81.5
2026-09-06 10:05:41,54,2263,86.2,13.24,39.6
2026-09-06 10:05:42,116,974,79.5,14.38,6.9
2026-09-06 10:05:43,6,1723,85.8,13.98,30.9
2026-09-06 10:05:44,52,2368,84.9,13.72,2.3
2026-09-06 10:05:45,112,1061,81.6,13.23,76.5
2026-09-06 10:05:46,118,2037,77.0,13.28,0.4
2026-09-06 10:05:47,112,3253,85.1,14.06,93.1
2026-09-06 10:05:48,83,2704,88.0,13.77,46.9
2026-09-06 10:05:49,21,1068,80.6,14.1,80.4
2026-09-06 10:05:50,22,868,93.7,13.82,91.1
2026-09-06 10:05:51,8,1988,91.8,13.26,24.5
2026-09-06 10:05:52,2,2589,89.8,13.93,44.1
2026-09-06 10:05:53,74,1040,87.5,13.77,45.4
2026-09-06 10:05:54,119,1760,78.9,13.4,79.5
2026-09-06 10:05:55,43,3232,80.3,13.27,74.9
2026-09-06 10:05:56,86,3175,80.6,13.68,91.8
2026-09-06 10:05:57,69,3187,81.9,14.05,99.8
2026-09-06 10:05:58,91,2923,76.9,13.93,47.4
2026-09-06 10:05:59,56,886,89.7,13.62,18.3
2026-09-06 10:06:00,88,1919,84.3,13.78,22.6
2026-09-06 10:06:01,96,1115,85.8,14.09,62.3
2026-09-06 10:06:02,69,1882,79.1,14.06,97.3
2026-09-06 10:06:03,7,3112,90.9,13.96,74.4
2026-09-06 10:06:04,114,3321,78.5,13.49,69.0
2026-09-06 10:06:05,82,855,93.9,14.3,87.5
2026-09-06 10:06:06,73,1213,78.4,13.98,31.0
2026-09-06 10:06:07,21,3440,87.9,13.7,87.8
2026-09-06 10:06:08,82,907,76.5,14.11,68.6
2026-09-06 10:06:09,62,865,92.0,13.89,24.4
2026-09-06 10:06:10,18,1767,78.2,13.89,18.5
2026-09-06 10:06:11,115,3439,78.9,13.75,93.8
2026-09-06 10:06:12,97,1576,77.2,14.11,87.9
2026-09-06 10:06:13,49,1849,92.0,13.74,18.7
2026-09-06 10:06:14,9,913,76.5,13.47,33.1
2026-09-06 10:06:15,15,1533,92.3,14.07,69.0
2026-09-06 10:06:16,24,2526,86.9,14.29,83.8
2026-09-06 10:06:17,94,1211,82.9,14.16,65.7
2026-09-06 10:06:18,19,2270,76.6,13.33,0.9
2026-09-06 10:06:19,67,1686,84.6,13.84,7.1
2026-09-06 10:06:20,47,2215,95.0,13.32,23.9
2026-09-06 10:06:21,22,942,90.1,13.7,50.7
2026-09-06 10:06:22,31,962,82.7,13.81,49.5
2026-09-06 10:06:23,17,1221,83.6,13.25,17.8
2026-09-06 10:06:24,72,2736,92.1,13.41,31.9
2026-09-06 10:06:25,89,2536,85.9,14.09,52.6
2026-09-06 10:06:26,78,1371,85.7,13.74,46.9
2026-09-06 10:06:27,42,1545,77.6,14.12,5.9
2026-09-06 10:06:28,72,2003,81.8,13.86,44.8
2026-09-06 10:06:29,92,2296,85.2,13.21,98.9
2026-09-06 10:06:30,65,1286,81.9,13.48,44.0
2026-09-06 10:06:31,12,3322,87.7,13.84,76.1
2026-09-06 10:06:32,84,3004,94.3,13.74,85.4
2026-09-06 10:06:33,32,807,82.4,14.12,78.8
2026-09-06 10:06:34,53,1169,85.8,13.39,40.4
2026-09-06 10:06:35,55,1240,76.0,13.57,42.8
2026-09-06 10:06:36,108,1384,80.6,13.25,97.5
2026-09-06 10:06:37,48,1950,77.9,13.56,38.0
2026-09-06 10:06:38,67,1102,77.8,13.39,72.3
2026-09-06 10:06:39,70,2637,75.4,14.06,35.6
2026-09-06 10:06:40,16,1054,81.9,13.49,55.7
2026-09-06 10:06:41,67,2265,84.3,13.36,68.9
2026-09-06 10:06:42,102,2849,93.4,14.32,44.0
2026-09-06 10:06:43,87,2407,88.8,14.32,67.5
2026-09-06 10:06:44,70,3360,86.2,14.17,38.4
2026-09-06 10:06:45,97,1188,80.8,13.56,98.6
2026-09-06 10:06:46,14,1617,78.1,13.41,0.3
2026-09-06 10:06:47,64,1010,91.9,14.26,22.4
2026-09-06 10:06:48,98,1162,76.9,13.44,27.6
2026-09-06 10:06:49,52,1494,91.3,14.07,32.8
2026-09-06 10:06:50,54,3073,93.0,13.44,69.0
2026-09-06 10:06:51,69,1911,82.0,14.13,99.2
2026-09-06 10:06:52,1,2540,81.5,14.34,84.7
2026-09-06 10:06:53,85,3420,77.5,13.68,15.6
2026-09-06 10:06:54,50,3445,76.0,13.23,29.1
2026-09-06 10:06:55,95,1902,94.2,13.73,29.3
2026-09-06 10:06:56,94,2179,77.3,13.47,34.0
2026-09-06 10:06:57,96,2581,83.6,13.92,36.8
2026-09-06 10:06:58,19,2509,85.4,14.04,46.8
2026-09-06 10:06:59,35,1769,78.9,13.72,44.3
2026-09-06 10:07:00,20,1309,90.7,14.28,8.2
2026-09-06 10:07:01,105,3385,91.3,13.3,33.6
2026-09-06 10:07:02,23,1479,78.7,13.6,72.6
2026-09-06 10:07:03,27,1531,78.6,14.15,41.3
2026-09-06 10:07:04,52,1570,88.5,13.73,31.7
2026-09-06 10:07:05,91,1935,78.2,14.18,79.3
2026-09-06 10:07:06,12,1340,79.5,13.36,16.1
2026-09-06 10:07:07,7,1964,88.8,14.13,92.3
2026-09-06 10:07:08,104,977,87.1,13.41,77.9
2026-09-06 10:07:09,91,2397,77.1,13.53,38.5
2026-09-06 10:07:10,95,1010,85.8,13.35,48.1
2026-09-06 10:07:11,95,2952,90.0,13.87,1.6
2026-09-06 10:07:12,80,2297,88.5,13.33,71.6
2026-09-06 10:07:13,4,2763,81.2,14.29,31.3
2026-09-06 10:07:14,69,3236,77.5,13.65,78.1
2026-09-06 10:07:15,118,2335,84.0,14.31,39.6
2026-09-06 10:07:16,69,1096,93.3,13.25,59.1
2026-09-06 10:07:17,14,2902,92.9,13.61,48.1
2026-09-06 10:07:18,61,2655,90.0,13.97,39.7
2026-09-06 10:07:19,56,2661,88.1,13.89,49.4
2026-09-06 10:07:20,67,1334,80.6,14.09,54.0
2026-09-06 10:07:21,47,3195,84.5,13.92,24.3
2026-09-06 10:07:22,15,1724,84.1,13.35,54.8
2026-09-06 10:07:23,84,3307,90.8,13.76,83.7
2026-09-06 10:07:24,75,2626,77.9,13.79,6.8
2026-09-06 10:07:25,64,941,89.6,14.02,5.0
2026-09-06 10:07:26,66,2188,86.2,13.81,50.1
2026-09-06 10:07:27,66,1119,87.8,14.12,39.6
2026-09-06 10:07:28,27,1700,84.7,14.28,80.6
2026-09-06 10:07:29,109,1592,79.6,13.79,14.0
2026-09-06 10:07:30,35,895,93.9,13.57,33.3
2026-09-06 10:07:31,9,2884,82.1,13.6,4.0
2026-09-06 10:07:32,76,2524,85.4,13.48,96.4
2026-09-06 10:07:33,69,2477,92.2,13.69,98.0
2026-09-06 10:07:34,114,1354,75.3,13.27,35.2
2026-09-06 10:07:35,11,2155,89.7,13.31,67.0
2026-09-06 10:07:36,7,1852,92.7,14.09,21.3
2026-09-06 10:07:37,11,803,77.9,13.42,56.2
2026-09-06 10:07:38,115,1118,84.8,14.2,99.8
2026-09-06 10:07:39,119,1553,77.2,13.78,85.3
2026-09-06 10:07:40,31,2871,79.7,14.08,97.3
2026-09-06 10:07:41,88,2940,92.3,14.29,67.1
2026-09-06 10:07:42,88,1694,86.8,13.25,26.4
2026-09-06 10:07:43,98,2476,90.0,13.66,75.6
2026-09-06 10:07:44,11,2686,93.3,13.22,87.1
